country,iso3,year,ndgain_index,ndgain_vulnerability,ndgain_readiness,events,affected,deaths,damage_usd_nominal,damage_usd_2024
Myanmar,MMR,2004,35.023764515437,0.531428731255843,0.231904021564583,2,40700,307,500688000.0,831520069
Myanmar,MMR,2005,36.5414329630271,0.528382952346967,0.259211611607508,1,16,17,0.0,0
Myanmar,MMR,2006,40.0659769860317,0.527554781636954,0.328874321357587,2,70106,59,0.0,0
Myanmar,MMR,2007,40.282426983291,0.521651344536747,0.327299884202567,4,166664,5,0.0,0
Myanmar,MMR,2008,40.4586587972756,0.521788870432622,0.330962046378134,1,2420000,138366,4000000000.0,5827873272
Myanmar,MMR,2009,40.4178381805949,0.520115867062162,0.32847263067406,1,1351,24,0.0,0
Myanmar,MMR,2010,41.7183671958325,0.51744743655342,0.35181478047007,3,406531,373,57000000.0,81998705
Myanmar,MMR,2011,42.2884851467554,0.515544320044431,0.361314022979539,2,57011,225,5300000.0,7391115
Myanmar,MMR,2012,43.5271296943885,0.511163679726638,0.381706273614409,2,86486,40,1170000.0,1598544
Myanmar,MMR,2013,34.0869219786302,0.511879317668427,0.19361775724103,2,73300,23,0.0,0
Myanmar,MMR,2014,35.2300329895708,0.512932144089253,0.21753280388067,2,40000,0,0.0,0
Myanmar,MMR,2015,36.4716101428336,0.499034539629541,0.228466742486213,6,1636903,213,119000000.0,157494953
Myanmar,MMR,2016,38.2809455273218,0.501738491263495,0.267357401809931,6,953350,97,16600000.0,21696165
Myanmar,MMR,2017,38.9885930184441,0.491211791239889,0.270983651608771,2,199520,3,0.0,0
Myanmar,MMR,2018,38.7274327303862,0.498560861060093,0.273109515667817,5,173095,67,0.0,0
Myanmar,MMR,2019,38.6099431968738,0.500722761257205,0.27292162519468,3,8075,128,0.0,0
Myanmar,MMR,2020,38.9921846696963,0.505302760934705,0.285146454328631,2,26554,174,0.0,0
Myanmar,MMR,2021,37.3372502076446,0.515348157477337,0.262093161630229,1,125000,0,0.0,0
Myanmar,MMR,2022,37.050883531942,0.515496947663429,0.256514618302268,,,,,
Myanmar,MMR,2023,36.8926098644018,0.514340557222612,0.252192754510647,5,1276747,205,2240000000.0,2306069048
Myanmar,MMR,2024,,,,3,1106940,510,222000000.0,222000000
Myanmar,MMR,2025,,,,5,1522114,3846,11000000000.0,0
Philippines,PHL,1995,41.3564980955059,0.499359161756268,0.326489123666385,,,,,
Philippines,PHL,1996,41.4072207864523,0.499116470683725,0.327260886412771,,,,,
