country,year,CO2_intensity_GDP,CO2_per_capita_tCO2e,GDP_constant_2015USD,GDP_per_capita_2015USD,GHG_per_capita_tCO2e,GHG_total_MtCO2e,agri_land_pct,agriculture_pct_GDP,energy_use_pc,forest_area_pct,freshwater_withdrawal_pct,industry_pct_GDP,population,renewable_elec_pct,renewable_energy_pct,urban_pop_pct
Philippines,2021,0.3842004094297434,1.2874463035014294,378998554988.85706,3350.975875877763,2.0832097343125766,235.613,42.536137102994935,10.069164020487577,531.0454214953915,24.226045544488045,18.580451676409183,28.889809118545905,113100950.0,22.635048807145814,28.0,54.4504102510776
Philippines,2022,0.3720605871301384,1.3311216707107094,407730367707.3934,3577.70136573244,2.1287071399475863,242.5967,42.39259482845357,9.55176804414326,551.0427844480262,24.34305932857095,19.00561429436326,29.221239936433847,113964338.0,22.635048807145814,28.0,54.7902343568327
Philippines,2023,0.377592548554934,1.4139699247111173,430232801525.6519,3744.697638029279,2.21541251388629,254.5314,42.66894724486032,9.400366528706986,580.1360554135003,24.46007311265386,19.00561429436326,28.19762250917741,114891199.0,22.635048807145814,28.0,55.1242716168851
Philippines,2024,0.3829029746870905,1.5030109111702,454721721977.44543,3925.304869721802,2.3013540575846743,266.5973,42.66894724486032,9.08252678487007,580.1360554135003,24.46007311265386,19.00561429436326,27.693977993132076,115843670.0,22.635048807145814,28.0,55.4520983215477
Singapore,1990,0.4462836470223816,10.38622547365851,70914989180.44112,23272.700093215888,11.077596900954736,33.7549,2.985074626865672,0.3234395813443454,3782.717729575516,22.129701492537315,200.52291666666667,30.85854767116408,3047132.0,0.5409189257986509,0.2,100.0
Singapore,1991,0.4424670356943028,10.67793101490455,75658065571.98186,24132.71532906205,11.420558881535191,35.8044,1.791044776119403,0.2500547472206236,4167.37343867502,22.45611940298508,211.86,32.617884771105686,3135083.0,1.4479049701554283,0.5,100.0
Singapore,1992,0.4237681708994792,10.582945233506816,80681614023.60297,24973.4311358112,11.332968912600313,36.6134,1.791044776119403,0.197361758450875,4588.887017977818,22.782388059701493,223.19708333333332,32.287135451871286,3230698.0,1.3862170419825732,0.5,100.0
Singapore,1993,0.4388604598231078,11.910652002084824,89927445311.22139,27139.952427898537,12.811942521905276,42.452,1.791044776119403,0.1727886474182292,5487.722621993855,23.108805970149252,234.53416666666664,32.13797357314056,3313471.0,1.2920577998101468,0.5,100.0
Singapore,1994,0.4168348453724212,12.180027890804691,99905515247.39508,29220.272791547555,13.277760359023915,45.3973,1.791044776119403,0.1731591731716115,6460.589507621068,23.43507462686567,245.87125,31.30422885085922,3419048.0,1.175116312532975,0.5,100.0
Singapore,1995,0.3860988402140643,11.729643813913214,107074136708.30827,30379.89911445981,13.28574841410399,46.8257,1.791044776119403,0.1448619793947292,5346.987801828682,23.761492537313437,257.20833333333337,31.49225514669786,3524506.0,1.1014206078043518,0.4,100.0
Singapore,1996,0.3695081109712801,11.583826971610897,115074063971.77818,31349.317180513102,13.291782720698809,48.7902,1.791044776119403,0.1500251883232236,5359.513368455996,24.0879104477612,268.5454166666667,31.554856043577267,3670704.0,1.016597510373444,0.5,100.0
Singapore,1997,0.3384980112596907,11.114667450641958,124643863764.47908,32835.251850608205,13.260747126345942,50.3383,1.791044776119403,0.1329168247408256,5818.450534299472,24.41417910447761,279.8825,31.07038403276104,3796038.0,0.9108483902148858,0.4,100.0
Singapore,1998,0.3368183405684305,10.455888183299454,121912898005.20062,31043.108180075957,13.946760718097032,54.7719,1.791044776119403,0.1113783665296159,5083.358782227168,24.74059701492537,291.21958333333333,32.08791224109583,3927213.0,0.8634361233480177,0.4,100.0
Singapore,1999,0.3212818793758685,10.459989244006213,128884330733.00237,32557.04699040634,13.320078217142246,52.7305,1.791044776119403,0.1112459616074938,4587.57994680042,25.066865671641786,302.5566666666667,30.84562657048597,3958723.0,0.8299457994579946,0.4,100.0
Singapore,2000,0.3239040044392411,11.301036995327824,140533304238.72125,34890.081136516805,14.211744271872572,57.2433,1.791044776119403,0.092131732680321,4634.81368272521,25.39328358208955,313.89375,32.45850449549726,4027887.0,4.354271277435655,0.3,100.0
Singapore,2001,0.3301958794797732,11.093877929788508,139028385430.873,33597.869080822624,14.201747119148036,58.767,1.791044776119403,0.0823566559095407,5146.023238652957,25.501641791044776,328.2361666666667,30.379661075944647,4138012.0,4.16688325425368,0.6,100.0
Singapore,2002,0.3129586817379082,10.82800320885068,144482970559.8894,34598.82674837807,12.309510410804728,51.4039,1.7777777777777777,0.0710328000140013,5066.196034867538,25.42044444444445,338.24525000000006,30.74567541812489,4175950.0,3.977555965843527,0.6,100.0
Singapore,2003,0.2809755488425576,10.314555220560967,151054425108.65015,36709.79650382547,12.104715970979088,49.8088,1.1644832605531297,0.0611340723110266,6217.058806195207,25.082241630276563,352.521,30.22480291609525,4114826.0,3.9023548058417297,0.6,100.0
Singapore,2004,0.2680990673675663,10.685526838737175,166069208808.39377,39856.6356222613,12.59292805947396,52.4705,1.161103047895501,0.0556489896262465,7371.027933279165,25.114949201741656,366.79675,31.885893855466925,4166664.0,3.745565184319904,0.5,100.0
Singapore,2005,0.23404900608686,9.782894591868931,178302402123.90665,41798.48808346707,11.798384438700516,50.3291,1.1030478955007257,0.0550481142142598,4925.757575542049,25.22046444121916,377.5169445,31.407652204980185,4265762.0,3.608143825399733,0.5,100.0
Singapore,2006,0.2159345375211488,9.535541814868797,194361682395.94128,44159.41018205518,11.496115409651322,50.5986,1.080691642651297,0.0488654244516825,5128.308656662194,25.143515850144087,346.28913883333337,30.89429654960984,4401365.0,3.4957152274225445,0.5,100.0
Singapore,2007,0.2046206055111218,9.44913687162465,211896059498.4816,46178.81394701991,11.15098530074212,51.1674,1.1510791366906474,0.0428679973714473,4537.417169322598,25.21194244604316,315.0613333333334,28.22577096388088,4588599.0,3.3520044732939485,0.5,100.0
Singapore,2008,0.1988258155385348,8.867945503943055,215844707508.2283,44601.57993026987,10.424420733496492,50.4479,1.0,0.0414321884664468,4958.462482579934,25.135714285714283,284.45575,26.415338159666156,4839396.0,3.305719353756172,0.5,100.0
Singapore,2009,0.2024825105156558,8.773946767295437,216120888113.03256,43331.87466389616,10.315117192269668,51.4474,1.0,0.040687761270138,5321.08304981114,25.239571428571438,252.18350000000004,27.016319368826235,4987573.0,2.7722784114004257,0.5,100.0
Singapore,2010,0.1975179099096689,9.629403324816044,247501100140.01785,48752.05154418587,11.434698542290592,58.0509,1.0541310541310542,0.0361489888834213,4856.84920025022,25.27122507122507,219.91125,26.635871724303712,5076732.0,3.277389729659811,0.5,100.0
Singapore,2011,0.1952833560932028,9.903508853156286,262883130580.25568,50713.53263935941,11.661022036820116,60.4471,1.0369318181818183,0.0346076007512353,4086.3260711538,24.83892045454545,187.639,25.259592580881744,5183688.0,3.3699365438108484,0.5,100.0
Singapore,2012,0.1826724563782127,9.440394304911283,274543305511.61057,51679.35271733304,11.028403725070056,58.5877,1.0339943342776203,0.033272726533169,4787.023088380737,24.409065155807365,160.03341666666668,25.022202155541184,5312437.0,3.3732157313903453,0.5,100.0
Singapore,2013,0.1828749995071191,9.747049634739613,287769788882.2214,53298.97285582862,11.48572685909406,62.0133,0.9476661951909476,0.0343752167938134,5273.752922086761,24.015558698727013,132.42783333333335,23.442728628319724,5399162.0,3.850618081757729,0.6,100.0
Singapore,2014,0.1800868778261561,9.847498703773718,299095084828.9783,54681.93364582533,11.684574943818006,63.9114,0.930888575458392,0.0345408510735361,4986.327796518417,23.58984485190409,108.50558333333336,24.1685192477514,5469724.0,4.034667800660146,0.6,100.0
Singapore,2015,0.1791391577896586,9.968307147856496,307998545269.39795,55645.60686146057,11.878351624805196,65.7467,0.930888575458392,0.0326135138026483,5242.6504334370975,23.23187588152328,84.58333333333333,24.28802290550276,5535002.0,4.1796707655692185,0.7,100.0
Singapore,2016,0.1657765188601293,9.44707088976961,319541032495.04486,56986.785310291074,11.39202355222663,63.8783,0.930888575458392,0.0315212894381262,5449.419850108083,22.969675599435824,84.96666666666668,23.202952494110704,5607283.0,4.590456102327922,0.7,100.0
Singapore,2017,0.1704019343791437,10.136410457618355,333846562289.746,59485.30158739208,12.312809133871903,69.1026,0.9269662921348316,0.0307635837552263,5799.395294718075,22.626404494382022,83.21666666666667,23.496635285704144,5612253.0,4.279012062910368,0.7,100.0
Singapore,2018,0.1569666275697652,9.61426051080076,345370865382.8669,61250.34766723019,11.897544742772949,67.0864,0.9243697478991596,0.0301171482363283,5692.665647487336,22.3109243697479,81.38333333333334,25.38042066893489,5638676.0,4.116121992060356,0.8,100.0
Singapore,2019,0.1597297614063331,9.79870673958709,349888458531.0857,61345.52918200616,12.200693986519669,69.5875,0.9217877094972068,0.0322521301996085,5565.915192910422,21.997206703910617,82.16666666666667,24.07072940872004,5703569.0,4.17542088160238,0.9,100.0
Singapore,2020,0.1600897447141718,9.475664580243404,336541232520.5025,59189.70385743,11.971475641012788,68.0675,0.9192200557103064,0.032817252118695,5538.123715611539,21.685236768802227,83.11666666666666,23.241671973610032,5685807.0,4.081257725008427,0.9,100.0
Singapore,2021,0.1508429455676581,10.21678292698759,369376902514.86536,67731.26107117166,12.953946096920804,70.6452,0.9192200557103064,0.0305513686655138,5966.327635212886,21.434540389972145,58.18594466666666,24.614071598973734,5453566.0,4.022159927612086,1.1,100.0
Singapore,2022,0.1465259840781993,9.995827584139285,384550906479.0062,68218.80533356198,12.756380940148894,71.908,0.9192200557103064,0.0259773163736464,5785.043673416814,21.18384401114206,33.25522266666667,23.840521792089987,5637022.0,4.022159927612086,1.1,100.0
Singapore,2023,0.1432781587682638,9.480337458395631,391555143381.8849,66167.35963036072,12.233390698466687,72.3929,0.9192200557103064,0.0288498020075513,5282.7637359991,20.93314763231198,33.25522266666667,22.145995027166407,5917648.0,4.022159927612086,1.1,100.0
Singapore,2024,0.1440245114214756,9.751443631291764,408736675576.8914,67706.83361497392,12.604698469071668,76.0928,0.9192200557103064,0.0274391706944735,5282.7637359991,20.93314763231198,33.25522266666667,21.37731512021351,6036860.0,4.022159927612086,1.1,100.0
Thailand,1990,0.6621917143295724,1.7425705486917586,144044991708.43863,2631.5197109586343,3.3483320252614948,183.2821,41.85441092994578,12.499627830539913,774.4947701388492,37.896611795102665,,37.22474396158223,54738329.0,11.264034770010865,33.5,18.8071480847314
